second,Volt_1,Hertz,Volt_2
-5.000000E-03,+3.040201E-03,+1.500000E+03,
-4.995000E-03,+3.040201E-03,+1.505000E+03,
-4.990000E-03,-5.000000E-03,+1.510000E+03,+4.09159E-03
-4.985000E-03,-5.000000E-03,+1.515000E+03,+4.09159E-03
-4.980000E-03,-5.000000E-03,+1.520000E+03,+4.09159E-03
-4.975000E-03,-5.000000E-03,+1.525000E+03,+4.09159E-03
-4.970000E-03,+3.040201E-03,+1.530000E+03,+4.09159E-03
-4.965000E-03,+3.040201E-03,+1.535000E+03,+4.09159E-03
-4.960000E-03,+2.537688E-03,+1.540000E+03,+4.09159E-03
-4.955000E-03,+3.040201E-03,+1.545000E+03,+4.09159E-03
-4.950000E-03,+3.040201E-03,+1.550000E+03,+4.09159E-03
-4.945000E-03,-5.000000E-03,+1.555000E+03,+4.09159E-03
-4.940000E-03,+3.040201E-03,+1.560000E+03,+4.09159E-03
-4.935000E-03,-5.000000E-03,+1.565000E+03,+4.11113E-03
-4.930000E-03,-5.000000E-03,+1.570000E+03,+4.11113E-03
-4.925000E-03,+3.040201E-03,+1.575000E+03,+4.13066E-03
-4.920000E-03,+3.040201E-03,+1.580000E+03,+4.13066E-03
-4.915000E-03,+2.537688E-03,+1.585000E+03,+4.15019E-03
-4.910000E-03,-5.000000E-03,+1.590000E+03,+4.15019E-03
-4.905000E-03,+3.040201E-03,+1.595000E+03,+4.16972E-03
-4.900000E-03,-5.000000E-03,+1.600000E+03,+4.16972E-03
-4.895000E-03,-5.000000E-03,+1.605000E+03,+4.18925E-03
-4.890000E-03,-5.000000E-03,+1.610000E+03,+4.18925E-03
-4.885000E-03,+3.040201E-03,+1.615000E+03,+4.18925E-03
-4.880000E-03,+2.537688E-03,+1.620000E+03,+4.18925E-03
-4.875000E-03,+3.040201E-03,+1.625000E+03,+4.18925E-03
-4.870000E-03,-5.000000E-03,+1.630000E+03,+4.18925E-03
-4.865000E-03,-5.000000E-03,+1.635000E+03,+4.18925E-03
-4.860000E-03,-12.537688E-03,+1.640000E+03,+4.18925E-03
-4.855000E-03,-5.000000E-03,+1.645000E+03,+4.20878E-03
-4.850000E-03,-5.000000E-03,+1.650000E+03,+4.20878E-03
-4.845000E-03,+10.577889E-03,+1.655000E+03,+4.22831E-03
-4.840000E-03,+3.040201E-03,+1.660000E+03,+4.22831E-03
-4.835000E-03,+3.040201E-03,+1.665000E+03,+4.22831E-03
-4.830000E-03,-5.000000E-03,+1.670000E+03,+4.24784E-03
-4.825000E-03,-5.000000E-03,+1.675000E+03,+4.24784E-03
-4.820000E-03,+3.040201E-03,+1.680000E+03,+4.24784E-03
-4.815000E-03,+3.040201E-03,+1.685000E+03,+4.24784E-03
-4.810000E-03,+3.040201E-03,+1.690000E+03,+4.24784E-03
-4.805000E-03,-5.000000E-03,+1.695000E+03,+4.24784E-03
-4.800000E-03,-5.000000E-03,+1.700000E+03,+4.24784E-03
-4.795000E-03,-5.000000E-03,+1.705000E+03,+4.24784E-03
-4.790000E-03,+3.040201E-03,+1.710000E+03,+4.24784E-03
-4.785000E-03,+2.537688E-03,+1.715000E+03,+4.24784E-03
-4.780000E-03,+3.040201E-03,+1.720000E+03,+4.26738E-03
-4.775000E-03,-5.000000E-03,+1.725000E+03,+4.26738E-03
-4.770000E-03,+3.040201E-03,+1.730000E+03,+4.26738E-03
-4.765000E-03,+3.040201E-03,+1.735000E+03,+4.26738E-03
-4.760000E-03,+3.040201E-03,+1.740000E+03,+4.28691E-03
-4.755000E-03,+3.040201E-03,+1.745000E+03,+4.28691E-03
-4.750000E-03,+3.040201E-03,+1.750000E+03,+4.28691E-03
-4.745000E-03,+3.040201E-03,+1.755000E+03,+4.28691E-03
-4.740000E-03,-12.537688E-03,+1.760000E+03,+4.28691E-03
-4.735000E-03,+2.537688E-03,+1.765000E+03,+4.28691E-03
-4.730000E-03,-5.000000E-03,+1.770000E+03,+4.28691E-03
-4.725000E-03,-5.000000E-03,+1.775000E+03,+4.28691E-03
-4.720000E-03,+2.537688E-03,+1.780000E+03,+4.28691E-03
-4.715000E-03,+2.537688E-03,+1.785000E+03,+4.28691E-03
-4.710000E-03,-5.000000E-03,+1.790000E+03,+4.28691E-03
-4.705000E-03,-5.000000E-03,+1.795000E+03,+4.28691E-03
-4.700000E-03,+3.040201E-03,+1.800000E+03,+4.28691E-03
-4.695000E-03,+2.537688E-03,+1.805000E+03,+4.28691E-03
-4.690000E-03,-5.000000E-03,+1.810000E+03,+4.28691E-03
-4.685000E-03,+3.040201E-03,+1.815000E+03,+4.30644E-03
-4.680000E-03,+3.040201E-03,+1.820000E+03,+4.30644E-03
-4.675000E-03,-5.000000E-03,+1.825000E+03,+4.30644E-03
-4.670000E-03,+2.537688E-03,+1.830000E+03,+4.30644E-03
-4.665000E-03,+2.537688E-03,+1.835000E+03,+4.30644E-03
-4.660000E-03,+3.040201E-03,+1.840000E+03,+4.30644E-03
-4.655000E-03,+2.537688E-03,+1.845000E+03,+4.30644E-03
-4.650000E-03,-5.000000E-03,+1.850000E+03,+4.30644E-03
-4.645000E-03,-5.000000E-03,+1.855000E+03,+4.28691E-03
-4.640000E-03,-5.000000E-03,+1.860000E+03,+4.28691E-03
-4.635000E-03,+2.537688E-03,+1.865000E+03,+4.28691E-03
-4.630000E-03,-5.000000E-03,+1.870000E+03,+4.28691E-03
-4.625000E-03,-5.000000E-03,+1.875000E+03,+4.28691E-03
-4.620000E-03,+3.040201E-03,+1.880000E+03,+4.28691E-03
-4.615000E-03,-5.000000E-03,+1.885000E+03,+4.28691E-03
-4.610000E-03,+3.040201E-03,+1.890000E+03,+4.30644E-03
-4.605000E-03,-5.000000E-03,+1.895000E+03,+4.30644E-03
-4.600000E-03,-5.000000E-03,+1.900000E+03,+4.30644E-03
-4.595000E-03,-5.000000E-03,+1.905000E+03,+4.30644E-03
-4.590000E-03,-5.000000E-03,+1.910000E+03,+4.30644E-03
-4.585000E-03,+3.040201E-03,+1.915000E+03,+4.30644E-03
-4.580000E-03,-5.000000E-03,+1.920000E+03,+4.30644E-03
-4.575000E-03,-5.000000E-03,+1.925000E+03,+4.30644E-03
-4.570000E-03,-5.000000E-03,+1.930000E+03,+4.30644E-03
-4.565000E-03,-12.537688E-03,+1.935000E+03,+4.30644E-03
-4.560000E-03,-5.000000E-03,+1.940000E+03,+4.30644E-03
-4.555000E-03,+3.040201E-03,+1.945000E+03,+4.30644E-03
-4.550000E-03,+3.040201E-03,+1.950000E+03,+4.30644E-03
-4.545000E-03,-5.000000E-03,+1.955000E+03,+4.30644E-03
-4.540000E-03,+3.040201E-03,+1.960000E+03,+4.32597E-03
-4.535000E-03,+3.040201E-03,+1.965000E+03,+4.34550E-03
-4.530000E-03,+3.040201E-03,+1.970000E+03,+4.34550E-03
-4.525000E-03,+3.040201E-03,+1.975000E+03,+4.36503E-03
-4.520000E-03,-5.000000E-03,+1.980000E+03,+4.36503E-03
-4.515000E-03,+2.537688E-03,+1.985000E+03,+4.38456E-03
-4.510000E-03,+3.040201E-03,+1.990000E+03,+4.38456E-03
-4.505000E-03,+3.040201E-03,+1.995000E+03,+4.38456E-03
-4.500000E-03,+3.040201E-03,+2.000000E+03,+4.38456E-03
-4.495000E-03,+3.040201E-03,+2.005000E+03,+4.40409E-03
-4.490000E-03,+3.040201E-03,+2.010000E+03,+4.40409E-03
-4.485000E-03,+10.577889E-03,+2.015000E+03,+4.40409E-03
-4.480000E-03,+10.577889E-03,+2.020000E+03,+4.40409E-03
-4.475000E-03,+3.040201E-03,+2.025000E+03,+4.42363E-03
-4.470000E-03,+3.040201E-03,+2.030000E+03,+4.44316E-03
-4.465000E-03,+3.040201E-03,+2.035000E+03,+4.46269E-03
-4.460000E-03,-5.000000E-03,+2.040000E+03,+4.46269E-03
-4.455000E-03,+3.040201E-03,+2.045000E+03,+4.48222E-03
-4.450000E-03,+3.040201E-03,+2.050000E+03,+4.50175E-03
-4.445000E-03,+3.040201E-03,+2.055000E+03,+4.52128E-03
-4.440000E-03,+3.040201E-03,+2.060000E+03,+4.54081E-03
-4.435000E-03,+2.537688E-03,+2.065000E+03,+4.54081E-03
-4.430000E-03,+2.537688E-03,+2.070000E+03,+4.54081E-03
-4.425000E-03,+3.040201E-03,+2.075000E+03,+4.56034E-03
-4.420000E-03,+3.040201E-03,+2.080000E+03,+4.56034E-03
-4.415000E-03,-5.000000E-03,+2.085000E+03,+4.56034E-03
-4.410000E-03,+2.537688E-03,+2.090000E+03,+4.57988E-03
-4.405000E-03,+3.040201E-03,+2.095000E+03,+4.57988E-03
-4.400000E-03,-5.000000E-03,+2.100000E+03,+4.59941E-03
-4.395000E-03,+2.537688E-03,+2.105000E+03,+4.59941E-03
-4.390000E-03,+3.040201E-03,+2.110000E+03,+4.59941E-03
-4.385000E-03,+3.040201E-03,+2.115000E+03,+4.61894E-03
-4.380000E-03,+3.040201E-03,+2.120000E+03,+4.61894E-03
-4.375000E-03,+3.040201E-03,+2.125000E+03,+4.63847E-03
-4.370000E-03,-5.000000E-03,+2.130000E+03,+4.63847E-03
-4.365000E-03,+3.040201E-03,+2.135000E+03,+4.63847E-03
-4.360000E-03,+3.040201E-03,+2.140000E+03,+4.63847E-03
-4.355000E-03,+3.040201E-03,+2.145000E+03,+4.63847E-03
-4.350000E-03,+3.040201E-03,+2.150000E+03,+4.63847E-03
-4.345000E-03,+3.040201E-03,+2.155000E+03,+4.63847E-03
-4.340000E-03,+3.040201E-03,+2.160000E+03,+4.63847E-03
-4.335000E-03,-5.000000E-03,+2.165000E+03,+4.63847E-03
-4.330000E-03,-5.000000E-03,+2.170000E+03,+4.63847E-03
-4.325000E-03,+2.537688E-03,+2.175000E+03,+4.61894E-03
-4.320000E-03,+2.537688E-03,+2.180000E+03,+4.61894E-03
-4.315000E-03,+3.040201E-03,+2.185000E+03,+4.61894E-03
-4.310000E-03,-5.000000E-03,+2.190000E+03,+4.61894E-03
-4.305000E-03,-5.000000E-03,+2.195000E+03,+4.61894E-03
-4.300000E-03,+3.040201E-03,+2.200000E+03,+4.61894E-03
-4.295000E-03,+3.040201E-03,+2.205000E+03,+4.61894E-03
-4.290000E-03,+3.040201E-03,+2.210000E+03,+4.61894E-03
-4.285000E-03,-5.000000E-03,+2.215000E+03,+4.59941E-03
-4.280000E-03,+3.040201E-03,+2.220000E+03,+4.59941E-03
-4.275000E-03,+3.040201E-03,+2.225000E+03,+4.59941E-03
-4.270000E-03,+3.040201E-03,+2.230000E+03,+4.57988E-03
-4.265000E-03,-5.000000E-03,+2.235000E+03,+4.57988E-03
-4.260000E-03,+3.040201E-03,+2.240000E+03,+4.56034E-03
-4.255000E-03,+3.040201E-03,+2.245000E+03,+4.56034E-03
-4.250000E-03,+3.040201E-03,+2.250000E+03,+4.56034E-03
-4.245000E-03,+3.040201E-03,+2.255000E+03,+4.54081E-03
-4.240000E-03,+11.080402E-03,+2.260000E+03,+4.54081E-03
-4.235000E-03,+3.040201E-03,+2.265000E+03,+4.54081E-03
-4.230000E-03,+3.040201E-03,+2.270000E+03,+4.54081E-03
-4.225000E-03,-5.000000E-03,+2.275000E+03,+4.54081E-03
-4.220000E-03,-5.000000E-03,+2.280000E+03,+4.54081E-03
-4.215000E-03,-5.000000E-03,+2.285000E+03,+4.54081E-03
-4.210000E-03,+3.040201E-03,+2.290000E+03,+4.54081E-03
-4.205000E-03,+2.537688E-03,+2.295000E+03,+4.54081E-03
-4.200000E-03,+2.537688E-03,+2.300000E+03,+4.54081E-03
-4.195000E-03,+3.040201E-03,+2.305000E+03,+4.54081E-03
-4.190000E-03,+3.040201E-03,+2.310000E+03,+4.54081E-03
-4.185000E-03,+3.040201E-03,+2.315000E+03,+4.54081E-03
-4.180000E-03,+3.040201E-03,+2.320000E+03,+4.54081E-03
-4.175000E-03,-5.000000E-03,+2.325000E+03,+4.54081E-03
-4.170000E-03,+3.040201E-03,+2.330000E+03,+4.56034E-03
-4.165000E-03,+3.040201E-03,+2.335000E+03,+4.56034E-03
-4.160000E-03,+3.040201E-03,+2.340000E+03,+4.57988E-03
-4.155000E-03,+3.040201E-03,+2.345000E+03,+4.57988E-03
-4.150000E-03,-5.000000E-03,+2.350000E+03,+4.59941E-03
-4.145000E-03,-5.000000E-03,+2.355000E+03,+4.59941E-03
-4.140000E-03,-13.040201E-03,+2.360000E+03,+4.61894E-03
-4.135000E-03,-5.000000E-03,+2.365000E+03,+4.61894E-03
-4.130000E-03,+2.537688E-03,+2.370000E+03,+4.63847E-03
-4.125000E-03,+3.040201E-03,+2.375000E+03,+4.63847E-03
-4.120000E-03,-5.000000E-03,+2.380000E+03,+4.65800E-03
-4.115000E-03,+3.040201E-03,+2.385000E+03,+4.65800E-03
-4.110000E-03,-5.000000E-03,+2.390000E+03,+4.65800E-03
-4.105000E-03,+3.040201E-03,+2.395000E+03,+4.67753E-03
-4.100000E-03,+3.040201E-03,+2.400000E+03,+4.67753E-03
-4.095000E-03,+3.040201E-03,+2.405000E+03,+4.69706E-03
-4.090000E-03,-5.000000E-03,+2.410000E+03,+4.69706E-03
-4.085000E-03,-5.000000E-03,+2.415000E+03,+4.69706E-03
-4.080000E-03,-5.000000E-03,+2.420000E+03,+4.71659E-03
-4.075000E-03,+3.040201E-03,+2.425000E+03,+4.71659E-03
-4.070000E-03,+3.040201E-03,+2.430000E+03,+4.73613E-03
-4.065000E-03,+3.040201E-03,+2.435000E+03,+4.73613E-03
-4.060000E-03,+3.040201E-03,+2.440000E+03,+4.73613E-03
-4.055000E-03,+2.537688E-03,+2.445000E+03,+4.75566E-03
-4.050000E-03,+3.040201E-03,+2.450000E+03,+4.75566E-03
-4.045000E-03,-5.000000E-03,+2.455000E+03,+4.75566E-03
-4.040000E-03,-5.000000E-03,+2.460000E+03,+4.75566E-03
-4.035000E-03,-5.000000E-03,+2.465000E+03,+4.75566E-03
-4.030000E-03,+3.040201E-03,+2.470000E+03,+4.75566E-03
-4.025000E-03,-5.000000E-03,+2.475000E+03,+4.75566E-03
-4.020000E-03,-5.000000E-03,+2.480000E+03,+4.77519E-03
-4.015000E-03,-5.000000E-03,+2.485000E+03,+4.77519E-03
-4.010000E-03,+3.040201E-03,+2.490000E+03,+4.77519E-03
-4.005000E-03,+3.040201E-03,+2.495000E+03,+4.77519E-03
-4.000000E-03,+3.040201E-03,+2.500000E+03,+4.77519E-03
-3.995000E-03,-5.000000E-03,+2.505000E+03,+4.77519E-03
-3.990000E-03,+3.040201E-03,+2.510000E+03,+4.77519E-03
-3.985000E-03,-5.000000E-03,+2.515000E+03,+4.77519E-03
-3.980000E-03,+2.537688E-03,+2.520000E+03,+4.77519E-03
-3.975000E-03,+3.040201E-03,+2.525000E+03,+4.77519E-03
