second,Volt_1,Hertz,Volt_2
+7.97000E-03,+3.04020E-03,+10.485000E+03,+751.75E-06
+7.98000E-03,+3.04020E-03,+10.490000E+03,+751.75E-06
+7.99000E-03,-5.00000E-03,+10.495000E+03,+751.75E-06
+8.00000E-03,-5.00000E-03,+10.500000E+03,+751.75E-06
+8.01000E-03,-12.53769E-03,+10.505000E+03,+751.75E-06
+8.02000E-03,-5.00000E-03,+10.510000E+03,+751.75E-06
+8.03000E-03,-5.00000E-03,+10.515000E+03,+751.75E-06
+8.04000E-03,-5.00000E-03,+10.520000E+03,+751.75E-06
+8.05000E-03,+3.04020E-03,+10.525000E+03,+751.75E-06
+8.06000E-03,-5.00000E-03,+10.530000E+03,+732.22E-06
+8.07000E-03,+2.53769E-03,+10.535000E+03,+732.22E-06
+8.08000E-03,+11.08040E-03,+10.540000E+03,+712.69E-06
+8.09000E-03,+11.08040E-03,+10.545000E+03,+712.69E-06
+8.10000E-03,+10.57789E-03,+10.550000E+03,+693.16E-06
+8.11000E-03,+11.08040E-03,+10.555000E+03,+693.16E-06
+8.12000E-03,+3.04020E-03,+10.560000E+03,+693.16E-06
+8.13000E-03,+3.04020E-03,+10.565000E+03,+693.16E-06
+8.14000E-03,+3.04020E-03,+10.570000E+03,+673.63E-06
+8.15000E-03,-5.00000E-03,+10.575000E+03,+673.63E-06
+8.16000E-03,-5.00000E-03,+10.580000E+03,+654.09E-06
+8.17000E-03,-5.00000E-03,+10.585000E+03,+654.09E-06
+8.18000E-03,-5.00000E-03,+10.590000E+03,+654.09E-06
+8.19000E-03,-12.53769E-03,+10.595000E+03,+654.09E-06
+8.20000E-03,-12.53769E-03,+10.600000E+03,+654.09E-06
+8.21000E-03,-13.04020E-03,+10.605000E+03,+673.63E-06
+8.22000E-03,+2.53769E-03,+10.610000E+03,+673.63E-06
+8.23000E-03,+3.04020E-03,+10.615000E+03,+673.63E-06
+8.24000E-03,+3.04020E-03,+10.620000E+03,+673.63E-06
+8.25000E-03,+3.04020E-03,+10.625000E+03,+693.16E-06
+8.26000E-03,+3.04020E-03,+10.630000E+03,+693.16E-06
+8.27000E-03,+3.04020E-03,+10.635000E+03,+712.69E-06
+8.28000E-03,+3.04020E-03,+10.640000E+03,+712.69E-06
+8.29000E-03,+3.04020E-03,+10.645000E+03,+732.22E-06
+8.30000E-03,+3.04020E-03,+10.650000E+03,+732.22E-06
+8.31000E-03,+3.04020E-03,+10.655000E+03,+732.22E-06
+8.32000E-03,+3.04020E-03,+10.660000E+03,+732.22E-06
+8.33000E-03,-5.00000E-03,+10.665000E+03,+751.75E-06
+8.34000E-03,-13.04020E-03,+10.670000E+03,+751.75E-06
+8.35000E-03,-5.00000E-03,+10.675000E+03,+751.75E-06
+8.36000E-03,-13.04020E-03,+10.680000E+03,+751.75E-06
+8.37000E-03,-5.00000E-03,+10.685000E+03,+751.75E-06
+8.38000E-03,-5.00000E-03,+10.690000E+03,+751.75E-06
+8.39000E-03,+3.04020E-03,+10.695000E+03,+751.75E-06
+8.40000E-03,+3.04020E-03,+10.700000E+03,+751.75E-06
+8.41000E-03,+3.04020E-03,+10.705000E+03,+732.22E-06
+8.42000E-03,+3.04020E-03,+10.710000E+03,+712.69E-06
+8.43000E-03,+11.08040E-03,+10.715000E+03,+712.69E-06
+8.44000E-03,+3.04020E-03,+10.720000E+03,+693.16E-06
