tau;delta_v;csv_datei
0,0005;3,8215;4
0,005;2,7925;5
0,01;1,7635;6
0,015;0,9305;7
0,02;0,255;8
0,0225;0,0045;10
0,025;0,2895;11
0,03;0,7845;12
0,035;1,1913;13
0,045;1,8213;14
0,1;3,3315;15
0,2;3,8225;16
0,3;3,9575;17
0,5;3,971;18
