tau;delta_v;csv_datei
0,003;3,662;53
0,01;2,8625;54
0,015;2,462;55
0,02;2,1875;56
0,025;1,775;57
0,03;1,375;58
0,035;1,1625;59
0,04;1;60
0,045;0,812;61
0,05;0,568;62
0,055;0,468;63
0,06;0,4;66
0,065;0,306;67
0,07;0,23;68
0,075;0,19;69
0,08;0,175;70
