tau;delta_v;csv_datei
0,005;3,525;31
0,01;3,1125;32
0,015;2,7625;33
0,02;2,375;34
0,025;2,0375;35
0,03;1,7375;36
0,035;1,468;37
0,04;1,1812;38
0,045;0,906;39
0,05;0,643;40
0,055;0,3937;41
0,06;0,19;42
0,065;0,1;43
0,07;0,273;44
0,075;0,482;45
0,08;0,631;46
0,085;0,84;47
0,09;0,975;48
0,1;1,2875;49
0,2;2,975;50
0,3;3,55;51
0,4;3,8;52
